"HYBRID_ZONE","CLASS","XS","YS","INTERVAL_TYPE","MIN_YS","MAX_YS","ALPHA","BETA"
"aegyptiaca_senegalensis","I","0",0,"95","0","0",-1,-1
"aegyptiaca_senegalensis","I","0",0,"LL","0","0",-1,-1
"aegyptiaca_senegalensis","I","0.01",0.009604,"95","-0.0504500107747498","0.0696603532252502",-1,-1
"aegyptiaca_senegalensis","I","0.01",0.009604,"LL","0.0018424","0.0162172",-1,-1
"aegyptiaca_senegalensis","I","0.02",0.018432,"95","-0.0989964910641035","0.135864820935896",-1,-1
"aegyptiaca_senegalensis","I","0.02",0.018432,"LL","0.0033792","0.0315248",-1,-1
"aegyptiaca_senegalensis","I","0.03",0.026508,"95","-0.145660328158261","0.198682299841739",-1,-1
"aegyptiaca_senegalensis","I","0.03",0.026508,"LL","0.0046248","0.0459468",-1,-1
"aegyptiaca_senegalensis","I","0.04",0.033856,"95","-0.190462409347421","0.258181686652579",-1,-1
"aegyptiaca_senegalensis","I","0.04",0.033856,"LL","0.0055936","0.0595072",-1,-1
"aegyptiaca_senegalensis","I","0.05",0.0405,"95","-0.233423621921782","0.314431878078217",-1,-1
"aegyptiaca_senegalensis","I","0.05",0.0405,"LL","0.00629999999999999","0.07223",-1,-1
"aegyptiaca_senegalensis","I","0.06",0.046464,"95","-0.274564853171546","0.367501770828454",-1,-1
"aegyptiaca_senegalensis","I","0.06",0.046464,"LL","0.0067584","0.0841392",-1,-1
"aegyptiaca_senegalensis","I","0.07",0.051772,"95","-0.31390699038691","0.41746026161309",-1,-1
"aegyptiaca_senegalensis","I","0.07",0.051772,"LL","0.00698319999999999","0.0952588",-1,-1
"aegyptiaca_senegalensis","I","0.08",0.056448,"95","-0.351470920858074","0.464376247141926",-1,-1
"aegyptiaca_senegalensis","I","0.08",0.056448,"LL","0.0069888","0.1056128",-1,-1
"aegyptiaca_senegalensis","I","0.09",0.060516,"95","-0.387277531875238","0.508318624124762",-1,-1
"aegyptiaca_senegalensis","I","0.09",0.060516,"LL","0.00678959999999999","0.1152252",-1,-1
"aegyptiaca_senegalensis","I","0.1",0.064,"95","-0.4213477107286","0.5493562892714",-1,-1
"aegyptiaca_senegalensis","I","0.1",0.064,"LL","0.00639999999999999","0.12412",-1,-1
"aegyptiaca_senegalensis","I","0.11",0.066924,"95","-0.453702344708361","0.587558139291639",-1,-1
"aegyptiaca_senegalensis","I","0.11",0.066924,"LL","0.00583439999999999","0.1323212",-1,-1
"aegyptiaca_senegalensis","I","0.12",0.069312,"95","-0.484362321104719","0.622993070895281",-1,-1
"aegyptiaca_senegalensis","I","0.12",0.069312,"LL","0.00510719999999999","0.1398528",-1,-1
"aegyptiaca_senegalensis","I","0.13",0.071188,"95","-0.513348527207874","0.655729980792126",-1,-1
"aegyptiaca_senegalensis","I","0.13",0.071188,"LL","0.00423279999999998","0.1467388",-1,-1
"aegyptiaca_senegalensis","I","0.14",0.072576,"95","-0.540681850308026","0.685837765691974",-1,-1
"aegyptiaca_senegalensis","I","0.14",0.072576,"LL","0.0032256","0.1530032",-1,-1
"aegyptiaca_senegalensis","I","0.15",0.0735,"95","-0.566383177695373","0.713385322304627",-1,-1
"aegyptiaca_senegalensis","I","0.15",0.0735,"LL","0.00209999999999996","0.15867",-1,-1
"aegyptiaca_senegalensis","I","0.16",0.073984,"95","-0.590473396660114","0.738441547339885",-1,-1
"aegyptiaca_senegalensis","I","0.16",0.073984,"LL","0.000870399999999993","0.1637632",-1,-1
"aegyptiaca_senegalensis","I","0.17",0.074052,"95","-0.612973394492451","0.761075337507549",-1,-1
"aegyptiaca_senegalensis","I","0.17",0.074052,"LL","-0.000448800000000027","0.1683068",-1,-1
"aegyptiaca_senegalensis","I","0.18",0.073728,"95","-0.633904058482581","0.78135558951742",-1,-1
"aegyptiaca_senegalensis","I","0.18",0.073728,"LL","-0.00184319999999999","0.1723248",-1,-1
"aegyptiaca_senegalensis","I","0.19",0.073036,"95","-0.653286275920703","0.799351200079297",-1,-1
"aegyptiaca_senegalensis","I","0.19",0.073036,"LL","-0.00329839999999998","0.1758412",-1,-1
"aegyptiaca_senegalensis","I","0.2",0.072,"95","-0.671140934097018","0.815131065902982",-1,-1
"aegyptiaca_senegalensis","I","0.2",0.072,"LL","-0.0048","0.17888",-1,-1
"aegyptiaca_senegalensis","I","0.21",0.070644,"95","-0.687488920301725","0.828764083698275",-1,-1
"aegyptiaca_senegalensis","I","0.21",0.070644,"LL","-0.00633359999999997","0.1814652",-1,-1
"aegyptiaca_senegalensis","I","0.22",0.068992,"95","-0.702351121825023","0.840319150174977",-1,-1
