"SP1","SP2","DISTANCE"
"bombina","bombina",0
"bombina","variegata",7.72
"bombina","marmoratus",314.8535
"bombina","pygmaeus",314.8535
"bombina","ivanbureschi",314.8535
"bombina","anatolicus",314.8535
"bombina","macedonicus",314.8535
"bombina","cristatus",314.8535
"bombina","montandoni",314.8535005
"bombina","vulgaris",314.8535005
"bombina","glareolus",346.14985
"bombina","rutilus",346.14985
"bombina","bocagei",346.1499
"bombina","guadarramae",346.1499
"bombina","virescens",346.1499
"bombina","hispanicus",346.1499
"bombina","vaucheri",346.1499
"bombina","carbonelli",346.1499
"bombina","liolepis",346.1499
"bombina","natrix",346.1497
"bombina","astreptophora",346.1497
"bombina","helvetica",346.1497
"bombina","colchica",346.14975
"bombina","fragilis",346.14975
"bombina","orbicularis",346.14975
"bombina","trinacris",346.14975
"bombina","varius",346.1499
"bombina","ruber",346.1499
"bombina","nuchalis",346.1499
"bombina","salar",449.0728
"bombina","trutta",449.0728
"bombina","senegalensis",449.0728
"bombina","aegyptiaca",449.0728
"variegata","bombina",7.72
"variegata","variegata",0
"variegata","marmoratus",314.8535
"variegata","pygmaeus",314.8535
"variegata","ivanbureschi",314.8535
"variegata","anatolicus",314.8535
"variegata","macedonicus",314.8535
"variegata","cristatus",314.8535
"variegata","montandoni",314.8535005
"variegata","vulgaris",314.8535005
"variegata","glareolus",346.14985
"variegata","rutilus",346.14985
"variegata","bocagei",346.1499
"variegata","guadarramae",346.1499
"variegata","virescens",346.1499
"variegata","hispanicus",346.1499
"variegata","vaucheri",346.1499
"variegata","carbonelli",346.1499
"variegata","liolepis",346.1499
"variegata","natrix",346.1497
"variegata","astreptophora",346.1497
"variegata","helvetica",346.1497
"variegata","colchica",346.14975
"variegata","fragilis",346.14975
"variegata","orbicularis",346.14975
"variegata","trinacris",346.14975
"variegata","varius",346.1499
"variegata","ruber",346.1499
"variegata","nuchalis",346.1499
"variegata","salar",449.0728
"variegata","trutta",449.0728
"variegata","senegalensis",449.0728
"variegata","aegyptiaca",449.0728
"marmoratus","bombina",314.8535
"marmoratus","variegata",314.8535
"marmoratus","marmoratus",0
"marmoratus","pygmaeus",4.1
"marmoratus","ivanbureschi",18.2
"marmoratus","anatolicus",18.2
"marmoratus","macedonicus",18.2
"marmoratus","cristatus",18.2
"marmoratus","montandoni",42.7954435
"marmoratus","vulgaris",42.7954435
"marmoratus","glareolus",346.14975
"marmoratus","rutilus",346.14975
"marmoratus","bocagei",346.1498
"marmoratus","guadarramae",346.1498
"marmoratus","virescens",346.1498
"marmoratus","hispanicus",346.1498
"marmoratus","vaucheri",346.1498
"marmoratus","carbonelli",346.1498
"marmoratus","liolepis",346.1498
"marmoratus","natrix",346.1496
"marmoratus","astreptophora",346.1496
"marmoratus","helvetica",346.1496
"marmoratus","colchica",346.14965
"marmoratus","fragilis",346.14965
"marmoratus","orbicularis",346.14965
"marmoratus","trinacris",346.14965
"marmoratus","varius",346.1498
"marmoratus","ruber",346.1498
"marmoratus","nuchalis",346.1498
"marmoratus","salar",449.0727
"marmoratus","trutta",449.0727
"marmoratus","senegalensis",449.0727
"marmoratus","aegyptiaca",449.0727
"pygmaeus","bombina",314.8535
"pygmaeus","variegata",314.8535
