"TAXON","SPECIES","CLASS","ALL_RICHNESS"
"Anguis","colchica","I",74.55
"Anguis","colchica","II",59.865
"Anguis","fragilis","I",70.959
"Anguis","fragilis","II",33.753
"Bombina","bombina","I",40.844
"Bombina","bombina","II",15.462
"Bombina","variegata","I",56.039
"Bombina","variegata","II",15.506
"Clethrionomys","glareolus","I",162.377
"Clethrionomys","glareolus","II",31.245
"Clethrionomys","rutilus","I",122.315
"Clethrionomys","rutilus","II",26.303
"Emys","occidentalis","I",12.893
"Emys","occidentalis","II",4.753
"Emys","orbicularis","I",12.268
"Emys","orbicularis","II",12.378
"Emys","trinacris","I",14.596
"Emys","trinacris","II",7.164
"Lissotriton","montandoni","I",75.312
"Lissotriton","montandoni","II",20.939
"Lissotriton","vulgaris","I",66.035
"Lissotriton","vulgaris","II",18.321
"Natrix","astreptophora","I",9
"Natrix","astreptophora","II",81
"Natrix","helvetica","I",10.853
"Natrix","helvetica","II",118.502
"Natrix","natrix","I",11.223
"Natrix","natrix","II",142.445
"Podarcis","bocagei","I",73.114
"Podarcis","bocagei","II",45.28
"Podarcis","carbonelli","I",102.691
"Podarcis","carbonelli","II",45.055
"Podarcis","guadarramae","I",92.496
"Podarcis","guadarramae","II",59.967
"Podarcis","hispanicus","I",90.901
"Podarcis","hispanicus","II",56.998
"Podarcis","liolepis","I",108.23
"Podarcis","liolepis","II",85.643
"Podarcis","vaucheri","I",88.169
"Podarcis","vaucheri","II",61.765
"Podarcis","virescens","I",110.539
"Podarcis","virescens","II",65.878
"Salmo","salar","I",16.532
"Salmo","salar","II",11.65
"Salmo","trutta","I",16.261
"Salmo","trutta","II",8.664
"Solea","aegyptiaca","I",29.615
"Solea","aegyptiaca","II",18.148
"Solea","senegalensis","I",26.427
"Solea","senegalensis","II",14.537
"Sphyrapicus","nuchalis","I",45.389
"Sphyrapicus","nuchalis","II",15.306
"Sphyrapicus","ruber","I",48.999
"Sphyrapicus","ruber","II",16.274
"Sphyrapicus","varius","I",52.437
"Sphyrapicus","varius","II",23.085
"Triturus","anatolicus","I",81.24
"Triturus","anatolicus","II",10.245
"Triturus","cristatus","I",93.733
"Triturus","cristatus","II",10.13
"Triturus","ivanbureschi","I",65.743
"Triturus","ivanbureschi","II",5.112
"Triturus","macedonicus","I",67.759
"Triturus","macedonicus","II",4.347
